StrongsIndex,Words,Translations
נוס,5127,to flee
נַחַל,5157,river|wadi
נַחֲלה,5169,possession|property|inheritance
נְחשֶׁת,5178,bronze|brass
נטה,5186,to stretch out
נכה,5221,to strike|smite
נסע,5265,to journey
נַעַר,5288,young man
נפל,5308,to fall
נֶפֶשׁ,5315,breath|living being|soul
נצל,5337,to be saved
נְשָׂא,5376,to carry|lift up
נָשִׂיא,5387,leader|prince
נתן,5414,to give|set|place
סבב,5437,to go around|surround
סָבִיב,5439,surrounding
סוּס,5483,horse
סור,5493,to turn aside
סֵפֶר,5612,book|scroll
עבד,5647,to work|serve
עֶבד,5650,slave|servant
עֲבוֹדָה,5656,work|service
עבר,5674,to pass over|go over
עַד,5704,as far as|until
עֵדָה,5712,community|assembly
עוֹד,5750,still|again
עוֹלָם,5769,long time|duration|everlasting|forever|perpetual
עָוֹן,5771,guilt|punishment
עזב,5800,to leave
עַיִן,5867,eye|spring of water
עִיר,5892,city
עַל,5921,on|over|concerning|against
עלה,5927,to ascend|go up
עֹלָה,5930,burnt-offering
עַם,5971,people
עִם,5973,with|towards|against
עמד,5975,to stand
ענה,6030,to answer
עֶץ,6086,tree|wood
עֶצֶם,6106,bone
עֶרֶב,6153,evening
עשׂה,6213,to do|make
עֲשָׂרח,6235,ten (f.)
עָשָׂר,6240,ten
עֶשְׂרִים,6242,twenty
עֵת,6256,time
עַתִּה,6258,now
פֶה,6310,mouth
פְּלִשְׁתִי,6430,Philistine
פֶּן,6434,otherwise|or|lest
פנה,6437,to turn
פּנים,6440,face
פקד,6485,to attend to|visit|muster|appoint
פַּר,6499,bull
פַּרִעֹה,6547,Pharaoh
פתח,6607,to open
פֶּתח,6607,opening|entrance|doorway
צֹאן,6629,flocks
צָבָא,6633,military|heavenly bodies
צַדִּיק,6662,righteous
צְדָקָה,6666,righteousness
צוה,6680,to give an order|command
צִיִוֹן,6724,Zion
צָפוֹן,6828,north
קבּץ,6908,to gather|assemble
קבר,6912,to bury
קדשׁ,6942,to be set apart|consecrated
קֹדֶשׁ,6944,holy
קָהָל,6951,crowd|community
קוֹל,6963,noise|human voice
קום,6965,to rise
קָרָא,7121,to name|call
קרב,7126,to approach|draw near
קֶרֶב,7130,inward part|midst
ראה,7200,to see
רֹאשׁ,7218,head
רִאשׁוֹן,7223,first|earlier
רַב,7227,many|great
רֹב,7230,multitude|abundance|greatness
רבה,7235,to become numerous|become great
רֶגֶל,7272,foot|leg
רדפ,7291,to persecute|pursue
רוּח,7307,wind|spirit
רום,7311,to rise|be high
רֶכֶב,7393,chariotry|chariot
רַע,7451,evil
רֵעַ,7423,friend
רָעָה,7462,evil|to feed|graze
רשׁע,7561,guilty|wicked person
שֶׁ,0,who|that|which
שׁאוּל,7586,Saul
שׁאל,7593,to ask
שׁאר,7604,to remain
שׁכב,7616,to lie down
שֵׁבֶט,7626,rod|tribe
שׁבַע,7650,seven
שָׁבַע,0,to swear
שׂדֶה,7704,field
שׁוב,7725,to return
שׂום,7761,to set|put
שׁחת,7845,to ruin|destroy
שׁכן,7931,to dwell, settle down
שׁלוֹם,7965,health|peace
שְׁלשִׁים,7930,thirty
שָׁלַח,7971,to send
שָׁלך,7993,to throw
שׁלֹמֹה,8010,Solomon
שָׁלשׁ,8027,three
שָׁם,8033,there
שֵׁם,8034,name
שְׁמוּאֵל,8050,Samuel
שָׂמַח,8055,to rejoice|be merry
שׁמַיִם,8064,heaven|sky
שֶׁמֶן,8081,fat|oil
שׁמע,8085,to hear
שָׁמַר,8104,to keep watch
שֶׁמֶשׁ,8122,sun
שׂנא,8131,to hate
שְׁנָה,8140,year
שֵׁנִי,8145,second
שׁעַר,8147,gate
שָׁפַט,8199,to judge
שַׂר,8269,official
שֵׁשׁ,8337,six
שׁתה,8355,to drink
תָוֶךְ,8432,midst|in the middle
תּוֹרָה,8451,instruction
תַּחת,8479,underneath|below|instead of
מָנָה,4487,number|reckon|assign|dose
רֶחֶם,7358,womb|matrix
תְּפִלָּה,8605,prayer
בָּכָה,1058,weep|cry out
שַׁחַר,7837,dawn
קמח,7058,flour
קָשֶׁת,7198,bow (archery)
בָּשַׁל,1310,boil,seethe,ripen
